,Series1 - Start,Series1 - End,Series2 - Start,Series2 - End,t-Stat: A,p-value: A,t-Stat: T,p-value: T,t-Stat: C,p-value: C,t-Stat: G,p-value: G
0,1,2,3,30,3.6211508,0.0011488,-1.5372667,0.1354529,-0.6255307,0.5366884,-4.2701699,0.0002029
1,1,3,4,30,5.3300209,1.13e-05,-2.8255587,0.0086075,-1.6197009,0.1165066,-3.2067937,0.0033471
2,1,4,5,30,5.0547735,2.39e-05,-3.4236945,0.0019213,-1.6934833,0.1014618,-2.1695325,0.0386843
3,1,5,6,30,5.3108049,1.19e-05,-3.1825602,0.0035586,-2.3336992,0.0270165,-2.1100136,0.0439224
4,1,6,7,30,4.8767915,3.88e-05,-3.2501871,0.002998,-1.7466373,0.0916634,-2.1278405,0.0422908
5,1,7,8,30,4.6623273,6.98e-05,-3.6529366,0.0010567,-1.7256491,0.0954324,-1.5813624,0.1250269
6,1,8,9,30,5.0228403,2.61e-05,-3.9902115,0.0004314,-1.5706199,0.1275041,-1.7576784,0.0897319
7,1,9,10,30,4.219049,0.0002329,-3.8330363,0.0006563,-1.1189855,0.2726544,-1.4985278,0.1451868
8,1,10,11,30,3.1245774,0.0041181,-3.9322687,0.0005037,-0.608496,0.5477636,-0.6046089,0.5503074
9,1,11,12,30,2.8067857,0.0090066,-3.5450921,0.0014017,-1.0409019,0.3068261,-0.1369746,0.8920311
10,1,12,13,30,3.4225455,0.001927,-4.5641388,9.12e-05,-1.3824308,0.1777679,0.0187045,0.9852095
11,1,13,14,30,4.4600923,0.0001211,-5.4368262,8.4e-06,-1.4336693,0.1627401,-0.5412862,0.5925914
12,1,14,15,30,3.7228944,0.0008788,-4.6230646,7.77e-05,-0.9910708,0.3301388,-0.568541,0.5741997
13,1,15,16,30,3.431194,0.0018844,-4.4667348,0.000119,-0.8007431,0.4300229,-0.4829333,0.6328977
14,1,16,17,30,3.2674067,0.0028695,-3.2796441,0.0027813,-1.3995341,0.1726348,-0.6562834,0.5169993
15,1,17,18,30,2.9467418,0.0064057,-2.9992975,0.0056272,-1.7340834,0.0939023,-0.2530528,0.8020761
16,1,18,19,30,2.8211835,0.008699,-2.8984783,0.0072097,-2.1598842,0.0394935,0.1035046,0.9183003
17,1,19,20,30,2.8607511,0.0079037,-2.7796658,0.0096141,-2.2574234,0.0319699,0.0079308,0.9937285
18,1,20,21,30,2.623109,0.0139413,-2.4932419,0.0188408,-1.845952,0.0754971,-0.2040255,0.8398092
19,1,21,22,30,2.420969,0.0222124,-2.3511281,0.0259874,-2.1560599,0.0398184,0.1451401,0.88564
20,1,22,23,30,2.2033847,0.0359612,-2.5162841,0.0178693,-1.7095326,0.0984145,0.3312928,0.7428901
21,1,23,24,30,2.020882,0.0529478,-2.4447208,0.0210477,-1.7221786,0.096068,0.553706,0.5841751
22,1,24,25,30,1.728508,0.0949114,-2.6892619,0.0119285,-0.6970387,0.4915258,0.4974389,0.6227636
23,1,25,26,30,1.5802394,0.125284,-2.770874,0.0098192,-0.0728685,0.9424288,0.3242304,0.7481733
24,1,26,27,30,1.4461672,0.1592322,-2.4704975,0.0198473,0.1264942,0.9002448,0.1144199,0.9097215
25,1,27,28,30,1.444511,0.1596936,-2.6948321,0.011772,0.3751582,0.7103697,0.1298776,0.8975918
26,1,28,29,30,1.7033569,0.0995779,-2.9897687,0.0057613,0.6626772,0.5129558,-0.2724356,0.7872861
